data_year,hid,pid,weight,dla_prob,rec_dla,scotland
2015,766,120150076603,1421,0.00031670781524710767,false,true
2015,815,120150081504,1703,0.00031670781524710767,false,true
2015,847,120150084702,732,0.00031670781524710767,false,true
2015,881,120150088104,879,0.00031670781524710767,false,true
2015,895,120150089504,747,0.00031670781524710767,false,true
2015,950,120150095002,1162,0.00031670781524710767,false,true
2015,1000,120150100002,906,0.00031670781524710767,false,true
2015,1094,120150109403,825,0.00031670781524710767,false,true
2015,1094,120150109404,825,0.00031670781524710767,false,true
2015,1100,120150110003,1238,0.00031670781524710767,false,true
2015,1122,120150112203,847,0.00031670781524710767,false,true
2015,1122,120150112204,847,0.00031670781524710767,false,true
2015,1260,120150126003,798,0.00031670781524710767,false,true
2015,1260,120150126004,798,0.00031670781524710767,false,true
2015,1260,120150126005,798,0.00031670781524710767,false,true
2015,1314,120150131403,1172,0.00031670781524710767,false,true
2015,1338,120150133804,948,0.00031670781524710767,false,true
2015,1353,120150135303,1350,0.00031670781524710767,false,true
2015,1479,120150147903,645,0.00031670781524710767,false,true
2015,1479,120150147904,645,0.00031670781524710767,false,true
2015,1585,120150158504,852,0.00031670781524710767,false,true
2015,1753,120150175304,929,0.00031670781524710767,false,true
2015,1754,120150175404,746,0.00031670781524710767,false,true
2015,1754,120150175405,746,0.00031670781524710767,false,true
2015,1780,120150178003,873,0.00031670781524710767,false,true
2015,1830,120150183003,1546,0.00031670781524710767,false,true
2015,1940,120150194002,936,0.00031670781524710767,false,true
2015,2025,120150202502,684,0.00031670781524710767,false,true
2015,2025,120150202504,684,0.00031670781524710767,false,true
2015,2027,120150202703,1027,0.00031670781524710767,false,true
2015,2045,120150204503,953,0.00031670781524710767,false,true
2015,2067,120150206703,1026,0.00031670781524710767,false,true
2015,2104,120150210405,1293,0.00031670781524710767,false,true
2015,2123,120150212304,806,0.00031670781524710767,false,true
2015,2333,120150233303,1401,0.00031670781524710767,false,true
2015,2357,120150235703,832,0.00031670781524710767,false,true
2015,2357,120150235704,832,0.00031670781524710767,false,true
2015,2386,120150238603,1539,0.00031670781524710767,false,true
2015,2568,120150256802,1028,0.00031670781524710767,false,true
2015,2630,120150263003,842,0.00031670781524710767,false,true
2015,2630,120150263004,842,0.00031670781524710767,false,true
2015,2639,120150263903,946,0.00031670781524710767,false,true
2015,2658,120150265804,871,0.00031670781524710767,false,true
2015,2709,120150270904,737,0.00031670781524710767,false,true
2015,2709,120150270905,737,0.00031670781524710767,false,true
2015,2718,120150271804,784,0.00031670781524710767,false,true
2015,2737,120150273702,740,0.00031670781524710767,false,true
2015,2741,120150274104,987,0.00031670781524710767,false,true
2015,2749,120150274903,825,0.00031670781524710767,false,true
2015,2749,120150274904,825,0.00031670781524710767,false,true
2015,2888,120150288803,863,0.00031670781524710767,false,true
2015,2888,120150288804,863,0.00031670781524710767,false,true
2015,2895,120150289503,1226,0.00031670781524710767,false,true
2015,2935,120150293503,1139,0.00031670781524710767,false,true
2015,3025,120150302502,897,0.00031670781524710767,false,true
2015,3025,120150302503,897,0.00031670781524710767,false,true
2015,3204,120150320403,859,0.00031670781524710767,false,true
2015,3252,120150325204,883,0.00031670781524710767,false,true
2015,3285,120150328503,656,0.00031670781524710767,false,true
2015,3285,120150328504,656,0.00031670781524710767,false,true
2015,3285,120150328505,656,0.00031670781524710767,false,true
