# Date	Employment (16+, millions)	Employment rate (16+, per cent)	Employees (16+, millions)	ILO unemployment (16+, millions)	ILO unemployment rate (16+, per cent)	Participation rate (16+, per cent)	Average hours worked	Total hours worked (millions)	Labour share (per cent)	Compensation of employees                    (£ billion) (a)	Wages and salaries (£ billion) (a-b)	Employers social contributions (£ billion) (b)	Mixed income (£ billion)	Average earnings growth (per cent)	Average earnings index (2008Q1=100)	Average hourly earnings index (2008Q1=100)	Productivity per hour index (2008Q1 =100)	Productivity per worker index (2008Q1 =100)	Real product wage (2008Q1 =100)	Real consumption wage (2008Q1 =100)	RPI	RPIX	CPI	Producer output prices	Mortgage interest payments	Actual rents for housing	Consumer expenditure deflator	GDP deflator	Bank Rate	3-month LIBOR	Long-term interest rates	Average mortgage rate	Trade-weighted sterling	US$/£ exchange rate	€/£ exchange rate	Oil prices ($)	Equity prices	Total compensation of employees	Gross operating surplus of private corporations	Other income	Gross value added at factor cost	Taxes on products and production less subsidies	Statistical discrepancy (income)	GDP at market prices	1.4 Nominal GDP (£ billion, non-seasonally adjusted)
Date	Employment	Employment rate	Employees	ILO unemployment	ILO unemployment rate	Participation rate	Average hours worked	Total hours worked	Labour share	Compensation of employees	Wages and salaries	Employers social contributions	Mixed income	Average earnings growth	Average earnings	Average hourly earnings	Productivity per hour	Productivity per worker	Real product wage	Real consumption wage	RPI	RPIX	CPI	Producer output prices	Mortgage interest payments	Actual rents for housing	Consumer expenditure deflator	GDP deflator	Bank Rate	three-month LIBOR	Long-term interest rates	Average mortgage rate	Trade-weighted sterling	dollar_exchange rate	euro_exchange rate	Dollar_Oil prices	Equity prices	Total compensation of employees	Gross operating surplus of private corporations	Other income	Gross value added at factor cost	Taxes on products and production less subsidies	Statistical discrepancy (income)	GDP at market prices	Nominal GDP
2013Q1	29.8392241502	58.3091671316	25.6542241502	2.5400584514	7.8447026842	63.2727242275	31.9887797126	954.5203681375	62.0021836935	214.806	174.981	39.825	25.401	1.1801635433	105.4141886422	106.0273889968	99.7133925724	99.1367086772	99.4578275771	96.3106337367	247.3666666667	246.6666666667	97.6913333333	107.8	242.4	93.959	95.5002817355	95.2	0.5	0.50972	3.1361	3.3666666667	80.341	1.5519	1.1751	112.87	3280.64	214.806	92.3482295	74.1417705	381.296	51.693	0	432.989	438.363
2013Q2	29.9383066523	58.4106496877	25.7423066523	2.5145216716	7.7482358287	63.3165665854	31.96872813	957.0895860406	63.5977638725	221.214	181.37	39.844	26.678	3.7337266562	108.8892620995	109.5913725061	99.7224477154	99.0835637711	101.7563548302	98.1630659923	249.7333333333	249	98.398	108.2	243.6	94.815	96.1630889154	95.4	0.5	0.50633	2.9567	3.3433333333	80.5177	1.5358	1.1756	103	3289.71	221.214	86.4879322	75.7170678	383.42	52.887	0	436.307	430.392
2013Q3	30.1064098668	58.6353277125	25.8624098668	2.4827028518	7.6181971362	63.4706467019	32.1665777006	968.4201722647	62.7471457473	221.892	182.812	39.08	26.854	2.8221571627	109.2453023789	109.2734319454	99.2325479822	99.2070031768	100.6535434356	97.810893278	250.8666666667	250.1666666667	98.695	108.6	244.6	95.5213333333	96.3555644236	96.3	0.5	0.51285	3.4946	3.3166666667	81.2325	1.5504	1.1708	110.1	3443.85	221.892	92.1108351	75.9741649	389.977	54.369	0	444.346	439.704
2013Q4	30.2904405501	58.8821373266	25.8664405501	2.3573675581	7.2205997727	63.4646669221	32.0273699486	970.1231454055	62.7771841271	222.77	183.569	39.201	28.087	3.7280753064	109.6805787082	110.1856724427	99.5539764687	99.0976186806	100.7251906266	97.7184880646	252.4666666667	251.8333333333	99.298	108.3	244	95.6766666667	96.8132203143	96.6	0.5	0.52131	3.4675	3.28	83.5495	1.6185	1.189	109.4	3609.63	222.77	93.6329488	76.6610512	393.063	54.642	0	447.705	452.888
2014Q1	30.5319528681	59.2405985928	25.9529528681	2.211676785	6.7545254097	63.5318752498	32.0627138073	978.9372667899	62.2519927062	223.082	183.991	39.091	28.868	3.9388225366	109.5662664612	109.9494988155	99.6981202776	99.3506194179	100.3242372587	96.8922551341	253.8666666667	253.2666666667	99.3903333333	108.7	243.3	95.8683333333	97.4495993029	97.1	0.5	0.52127	3.5134	3.25	85.5632	1.6551	1.2079	107.93	3555.59	223.082	96.6142839	78.8067161	398.51	55.373	0	453.883	458.366
2014Q2	30.7046732228	59.4635043535	26.0986732228	2.0606971442	6.2892533218	63.4543064284	32.1892583476	988.3606588463	61.2922370431	223.128	185.665	37.463	28.864	0.9702935128	109.9458075457	109.8966293956	99.7798266487	99.824477584	99.1755925743	95.680648149	255.9666666667	255.4666666667	100.091	108.8	242.8	96.9876666667	98.1528478162	97.8	0.5	0.53289	3.3634	3.2333333333	86.8974	1.6832	1.2278	109.81	3600.19	223.128	100.3218512	81.0861488	404.538	56.158	0	460.696	455.598
2014Q3	30.8331606753	59.5979702183	26.3031606753	1.9613003801	5.9805842723	63.3890029596	32.1606511867	991.6145254602	61.2305077728	226.253	187.429	38.824	28.112	0.8075686751	110.1275332199	110.1761893052	100.4169086965	100.3725625115	99.6813678925	96.2217722882	256.8666666667	256.3666666667	100.132	108.5	244.1	97.7673333333	98.1984035003	97.9	0.5	0.56004	3.1279	3.2133333333	88.002	1.6699523077	1.2599	102.08	3533.93	226.253	101.4538919	81.0521081	408.757	55.973	0	464.73	459.739
2014Q4	30.9440186219	59.6953816993	26.4280186219	1.8699885846	5.6987510632	63.3028537505	32.2362319133	997.5185606243	61.7862181226	227.506	189.341	38.165	28.706	0.9525725291	110.7253657708	110.5145657746	100.7323480848	100.9244890795	100.8876693343	95.9991151969	257.4333333333	256.9333333333	100.2266666667	107.7	243.9	98.2393333333	98.5036652889	97.4	0.5	0.55761	2.6733	3.1866666667	87.2784	1.5838	1.2671	75.96	3521.22	227.506	98.6584972	81.9485028	408.106	56.88	0	464.986	470.592
2015Q1	31.1556703575	59.9882281916	26.6306703575	1.8259652006	5.5363088267	63.5040060859	32.1055693765	1000.2705361334	61.5903984978	228.32	189.991	38.329	28.831	0.6331641168	110.2600007445	110.4979661257	100.7733736314	100.5563508651	100.0667908528	95.7717789772	256.4	255.8666666667	99.4903333333	107.1	244.1	98.5586666667	98.3367096705	97.4	0.5	0.56352	2.2162	3.1533333333	89.4359	1.5139	1.3463	54.05	3663.58	228.32	100.1227598	82.8322402	411.276	56.019	0	467.295	469.12
2015Q2	31.1104939157	59.7854470921	26.5924939157	1.8485963854	5.6087603405	63.3379191838	32.1105553377	998.9752364637	61.3274817846	230.772	191.917	38.855	29.565	1.4478308565	111.5376368727	111.7610033081	101.5003300217	101.2974706501	100.3621160199	96.7507555286	258.4666666667	258.0333333333	100.0743333333	107.4	243.3	99.671	98.5283138572	98.5	0.5	0.56986	2.4469	3.1066666667	91.2405	1.534	1.3863	62.1	3570.58	230.772	102.3467739	84.5442261	417.663	57.566	0	475.229	469.103
