"datayear"	"uniqidnew"	"shelter_1"	"shelter_2"	"shelter_3"	"tenure_1"	"tenure_2"	"tenure_3"	"singlepar_1"	"singlepar_2"	"singlepar_3"	"numadults_1"	"numadults_2"	"numadults_3"	"numkids_1"	"numkids_2"	"numkids_3"	"acctype_1"	"acctype_2"	"acctype_3"	"agehigh_1"	"agehigh_2"	"agehigh_3"	"empstathigh_1"	"empstathigh_2"	"empstathigh_3"	"ethnichigh_1"	"ethnichigh_2"	"ethnichigh_3"	"sochigh_1"	"sochigh_2"	"sochigh_3"	"datayear_1"	"datayear_2"	"datayear_3"
17	"243253.13"	0	0	0	3	2	2	0	0	0	2	2	1	1	1	1	4	2	2	26	5	1	1	1	1	1	1	1	7	2	1	17	1	1
17	"243275.68"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	3	1	1	71	14	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"243316.05"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	3	1	1	66	13	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"244539.07"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	4	2	2	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"244574.1"	1	1	1	2	1	1	0	0	0	1	1	-888	0	0	0	4	2	2	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"244643.08"	0	0	0	5	2	2	0	0	0	1	1	-888	0	0	0	4	2	2	19	3	0	6	4	3	1	1	1	0	0	1	17	1	1
17	"244680.53"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	4	2	2	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"245067.13"	0	0	0	5	2	2	0	0	0	1	1	-888	0	0	0	4	2	2	44	8	2	1	1	1	1	1	1	3	2	1	17	1	1
17	"245206.26"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	3	1	1	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"245212.44"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	4	2	2	31	6	1	1	1	1	1	1	1	2	1	1	17	1	1
17	"245551.85"	0	0	0	5	2	2	0	0	0	2	2	1	0	0	0	4	2	2	34	6	1	1	1	1	1	1	1	2	1	1	17	1	1
17	"245835.04"	0	0	0	6	3	3	0	0	0	1	1	-888	0	0	0	5	3	3	21	4	1	1	1	1	1	1	1	9	4	1	17	1	1
17	"246060.99"	0	0	0	3	2	2	0	0	0	1	1	-888	0	0	0	3	1	1	72	14	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"246275.84"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	3	1	1	64	12	3	1	1	1	1	1	1	1	1	1	17	1	1
17	"246416.89"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	1	1	1	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"246638.38"	0	0	0	1	1	1	0	0	0	4	3	2	0	0	0	1	1	1	55	11	2	1	1	1	1	1	1	5	3	1	17	1	1
17	"246757.54"	0	0	0	3	2	2	0	0	0	1	1	-888	0	0	0	3	1	1	69	13	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"246852.89"	0	0	0	2	1	1	0	0	0	2	2	1	1	1	1	1	1	1	41	8	2	1	1	1	1	1	1	4	2	1	17	1	1
17	"246999.57"	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	1	1	1	37	7	1	1	1	1	1	1	1	3	2	1	17	1	1
17	"247051.21"	0	0	0	3	2	2	0	0	0	1	1	-888	0	0	0	4	2	2	20	4	1	2	1	1	1	1	1	1	1	1	17	1	1
17	"247122.98"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	3	1	1	78	15	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"247270.75"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	4	2	2	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
